product_id,product_name,brand_id,brand_name,loves_count,price_usd,primary_category,secondary_category,rating,is_recommended,review_text,review_title,skin_tone,eye_color,skin_type,hair_color
P439055,GENIUS Sleeping Collagen Moisturizer,6018,Algenist,33910,98,Skincare,Moisturizers,5,1,"Ever since I bought this, I noticed that my skin is softer and I wake up looking glowing. This is a must, I have oily skin and I always apply a decent amount very lightly since the cream is more on the thicker side, but so far I�m loving the results.",Must have,medium,brown,oily,black
P421277,GENIUS Liquid Collagen Serum,6018,Algenist,67870,115,Skincare,Treatments,5,1,"When I first got this I used it in the morning and it was a little too much for my combination skin; but now it�s my staple night routine item. I read that collagen is mostly for moisturizing when applied topically so I�m not upset when I�m not seeing a ton of plumping effect (honestly I don�t believe anything that�s applied on the skin�s surface can plump lol), but man this thing nourishes the skin well. I was getting a ton of pimples along my jawline and it pretty much has stopped ever since I started using this. The scent is soft, and the product is gentle enough to be paired with most other serums and creams I have. Very happy and will continue to buy.",LOVE,light,brown,combination,black
P467602,Triple Algae Eye Renewal Balm Eye Cream,6018,Algenist,17890,68,Skincare,Eye Care,5,1,It actually helped me with my dark circles. It feels good on skin and it doesn�t peel,Good product,porcelain,green,combination,blonde
P432045,GENIUS Liquid Collagen Lip Treatment,6018,Algenist,44448,29,Skincare,Lip Balms & Treatments,4,1,"This is hard bc I want to give it 5 stars since I have the worst peeling lips and this has abated my incessant issue. I have cool and smooth lips when I�m consistently using this product. BUT, the other reviews are accurate the wax-like yellow balls get stuck in the hole and you squeeze then POoooo too much product pops out no matter the pressure. it�s a game to get the right amount. Also, this is not a typical balm or gloss, remember it�s a lip treatment. i think of it like a lip serum like hyaluronic acid serum for your face feels.... ahhh I can�t think of the right word for it. It leaves a very light coating on my lips. I love that it has a long lasting cooling feeling. There is a taste/scent/flavor that I�m not a fan of. it�s light enough to ignore and don�t lick your lips. The positive of this treatment outweigh the negative although I hope for improvement.",It's a treatment that works!,light,green,normal,black
P311143,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,6018,Algenist,27278,28,Skincare,Sunscreen,5,1,It�s very lightweight and MY FACE STAYS MATTE after padding some powder on for hours. It�s an oily girl�s dream,Oily girl's holy grail,lightMedium,brown,oily,black
P384537,GENIUS Ultimate Anti-Aging Cream,6018,Algenist,19733,112,Skincare,Moisturizers,5,1,"The best moisturizer I�ve tried! I have sensitive, dry, rosacea prone skin and it�s deeply moisturizing, while never breaking me out unlike most anti-aging moisturizers. Such a lovely whipped texture. Will definitely buy again",Best moisturizer ever!,fair,hazel,combination,auburn
P388200,GENIUS Ultimate Anti-Aging Melting Cleanser,6018,Algenist,9314,38,Skincare,Cleansers,4,1,"I like Algenist products, and this is no exception.  At first I used too much of the product and have since found I need only use a rather small amount to work into my skin. I do not wear a lot of make up but am guessing this melting cleanser is very good at dissolving make up and impurities of the day. I gave it 4 stars because the texture is a little too heavy for my personal opinion. It is very rich, a little thick, but does dissolve with application and glides over the skin smoothly. I rinse it off using water and a washcloth to remove the last traces of cleanser. The post-cleansing results are the reward: skin looks and feels clean and nourished, which I believe would describe the �anti-aging� aspect of the product. It is gentle, but thorough. A very nice way to cleanse and achieve smooth skin.",Use only a small amount for really nice results!,light,brown,dry,brown
P296413,Gentle Rejuvenating Cleanser,6018,Algenist,7681,28,Skincare,Cleansers,5,1,"It takes a lot for me to write reviews but after watching @makeupxka rave about this cleanser I decided to try it. It�s changed my skin! And highly recommend for winter if you have dry skin. It�s pretty thick you don�t need much , it�s creamy and never feel like my skin is tight or stripped. Great for my sensitive skin and has also surprisingly helped with my hormonal acne and maskne. Holy grail now!",Holy grail!,fair,green,combination,brown
P500716,10 Day Results Kit,6018,Algenist,3206,88,Skincare,Value & Gift Sets,4,1,The collagen serum is well worth it! It feels hydrating and the difference is obvious. The eye cream is a bit too thick and caused a skin bump under my eyes from a clogged pore.,Collagen Serum is Fantastic,fair,green,combination,brown
P379907,Advanced Anti-Aging Repairing Oil,6018,Algenist,10676,82,Skincare,Moisturizers,5,1,"I�ve only been using this product for a couple of weeks but I am already so impressed. I have combination skin and definitely always avoided using anything oily on my face. This stuff is magical� Does not leave my face feeling oily, but instead incredibly soft, smooth, and plump. It�s honestly mystifying how it can work so well. I�m obsessed. I put about 5 drops in the palm of my hand, rub together, and then press onto skin. Allow to absorb for about 15 min and then finish with some basic CeraVe lotion. I already see a change in my skin from this product!","Try it, you won�t be disappointed!",lightMedium,brown,combination,black
